time_stamp,load_gross_real_power_kW
2023-09-02 16:02:31.649764-07:00,29.971
2023-09-02 17:02:35.883168-07:00,23.091
2023-09-02 18:02:40.063956-07:00,20.464
2023-09-02 19:02:44.145550-07:00,20.237
2023-09-02 20:02:50.057263-07:00,11.0
2023-09-02 21:02:54.444900-07:00,10.0
2023-09-02 22:02:59.431997-07:00,9.0
2023-09-02 23:03:04.586575-07:00,9.0
2023-09-03 00:00:57.898465-07:00,11.0
2023-09-03 01:01:05.413918-07:00,10.0
2023-09-03 02:00:54.406797-07:00,14.0
2023-09-03 03:01:01.943461-07:00,9.0
2023-09-03 04:01:08.070427-07:00,8.0
2023-09-03 05:01:15.727547-07:00,9.0
2023-09-03 06:01:23.280906-07:00,9.0
2023-09-03 07:01:33.131653-07:00,15.083
2023-09-03 08:01:36.716690-07:00,10.583
2023-09-03 09:01:44.026506-07:00,9.678
2023-09-03 10:01:51.935556-07:00,10.355
2023-09-03 11:01:56.192543-07:00,10.395
2023-09-03 12:02:00.891257-07:00,21.855
2023-09-03 13:02:06.520096-07:00,10.756
2023-09-03 14:02:10.684213-07:00,9.402
2023-09-03 15:02:15.941385-07:00,9.362
2023-09-03 16:02:20.067717-07:00,10.296
2023-09-03 17:02:24.933875-07:00,12.157
2023-09-03 18:02:30.077309-07:00,15.321
2023-09-03 19:02:40.045028-07:00,10.0
2023-09-03 20:02:45.239258-07:00,10.0
2023-09-03 21:02:50.997799-07:00,9.0
2023-09-03 22:02:54.330004-07:00,9.0
2023-09-03 23:02:57.080545-07:00,9.0
2023-09-04 00:00:55.473770-07:00,9.0
2023-09-04 01:01:01.174062-07:00,8.0
2023-09-04 02:01:05.884650-07:00,8.0
2023-09-04 03:01:12.783273-07:00,8.0
2023-09-04 04:01:01.836298-07:00,8.0
2023-09-04 05:01:06.564167-07:00,8.0
2023-09-04 06:01:13.478459-07:00,7.0
2023-09-04 07:01:20.681823-07:00,9.0
2023-09-04 08:01:27.187349-07:00,9.071
2023-09-04 09:01:32.907280-07:00,9.47
2023-09-04 10:01:40.824657-07:00,20.487
2023-09-04 11:01:50.134555-07:00,9.329
2023-09-04 12:01:55.528421-07:00,10.856
2023-09-04 13:02:01.978936-07:00,10.947
2023-09-04 14:02:06.394501-07:00,10.86
